nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha,enlace,precio_actual_num,precio_original_num,descuento_pct,fecha_extraccion,anio,mes,dia
"Ordenador portátil 14 pulgadas Dual-Core hasta 2,6 GHz • 6 GB RAM • 128 GB SSD • UHD portatil • WiFi 5G • Mini-HDMI • Teclado membrana • Diseño sin ventilador • Color plateado • Ratón incluido","205,.99",,,"3,4 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Ordenador-port%C3%A1til-Dual-Core-Mini-HDMI-ventilador/dp/B0G3JBSTR6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-4,205.99,,,2026-04-21 17:37:00,2026,4,21
"BMAX Ordenador Portátil 15.6"" FHD Celeron N95 Upto 3,4 GHz Portatiles 12GB RAM 512GB SSD LPDDR5 Laptop, Win 11 PC Portátil 5G WiFi Notebook BT5.0, USB 3.2x2, Protege el Teclado Español","256,.49","289,99 €",,"4,6 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/BMAX-Ordenador-Port%C3%A1til-Portatiles-12GB/dp/B0GL8MWC5G/ref=sr_1_7?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-7,256.49,289.99,11.55,2026-04-21 17:37:00,2026,4,21
"ASUS Chromebook CX1505CTA - Ordenador Portátil 15.6"" Full HD (Intel N50, 4GB RAM, 128GB eMMC, ChromeOS) QWERTY Funda y ratón incluidos +3 Meses de Google AI Pro con Gemini Pro y 2TB de Almacenamiento","259,.00",,,"4,2 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/ASUS-Chromebook-CX1505CTA-Ordenador-Almacenamiento/dp/B0FWCLTWP2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-8,259.0,,,2026-04-21 17:37:00,2026,4,21
"15.6 Pulgadas Ordenador Portatil, Win 11 PC Portátil Celeron N4000 CPU, Portátil con 12GB LPDDR4 512GB SSD, 1920*1080 IPS FHD Pantalla Laptop, TF Card Slot expansión hasta 1 TB, Mini HDMI+BT4.2","289,.99",,,"4,3 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToyOTQwOTIxODIwMTY1NTE1OjE3NzY3ODU4Njg6c3BfYXRmOjMwMDk3MDIzODAzNzAzMjo6MDo6&url=%2FPulgadas-Ordenador-Celeron-N4000-expansi%25C3%25B3n%2Fdp%2FB0GCMVW3LJ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776785868%26sr%3D8-2-spons%26aref%3DOccozDMITF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=OccozDMITF&sp_cr=ZAZ,289.99,,,2026-04-21 17:37:00,2026,4,21
"15.6 Pulgadas Ordenador Portatil, Procesador N95 hasta 3.4 GHz, Portatil con 16GB RAM 512GB SSD, 1920 * 1080 IPS FHD Pantalla Laptop, BT5.0, USB 3.2, HDMI y Tipo C, WIFI5.0","289,.99",,,"4,3 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Tivique-Ordenador-Port%C3%A1til-Bater%C3%ADa-Estudios/dp/B0FDWMFX4T/ref=sr_1_14?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-14,289.99,,,2026-04-21 17:37:00,2026,4,21
"Ordenador Portáti 15,6 Pulgadas, PC Portátil Win 11 8GB RAM 256GB SSD, Laptop con Core M3 6Y30 Procesador, Computadora Portatil Delgada Pantalla FHD abatible de 180° Mini-HDMI 2*USB3.0 WiFi5 BT4.2","289,.99","299,99 €",,"4,3 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToyOTQwOTIxODIwMTY1NTE1OjE3NzY3ODU4Njg6c3BfbXRmOjMwMDk3MDE3MjExMDAzMjo6MDo6&url=%2FOrdenador-Pulgadas-Procesador-Computadora-Mini-HDMI%2Fdp%2FB0G2LVGR1F%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776785868%26sr%3D8-19-spons%26aref%3DXe83MteNm1%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=Xe83MteNm1&sp_cr=ZAZ,289.99,299.99,3.33,2026-04-21 17:37:00,2026,4,21
"HP 15-fd0261ns - Ordenador portátil de 15.6"" FHD (Intel N100, 4GB RAM, 128GB UFS, Intel UHD, Windows 11) Plata - Teclado QWERTY Español - Incluye Microsoft 365 Personal 12 Meses","299,.00","349,00 €",,"4,2 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-15-fd0261ns-Ordenador-port%C3%A1til-Microsoft/dp/B0FCG24X9S/ref=sr_1_6?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-6,299.0,349.0,14.33,2026-04-21 17:37:00,2026,4,21
"HP EliteBook 840 G6, FHD, Intel Core i5 8265U, 16 GB RAM, 512 GB SSD, Intel UHD Graphics, Windows 11 (Reacondicionado) Bolsa Cybersnap","331,.00",,,"3,5 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-EliteBook-840-G6-reacondicionado/dp/B0F3P4FHTY/ref=sr_1_21?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-21,331.0,,,2026-04-21 17:37:00,2026,4,21
"2026 Ordenador portátil 16GB RAM, SSD 256GB,15,6 Pulgadas, procesador M3-6Y30 (2,2 GHz), Pantalla FHD 1920x1080 píxeles, cámara Web y Panel táctil, Ideal para Estudiantes y Profesionales","349,.99","999,99 €",,"5,0 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToyOTQwOTIxODIwMTY1NTE1OjE3NzY3ODU4Njg6c3BfYXRmOjMwMTAzNjIyNzI1MTMzMjo6MDo6&url=%2FCHIFUYOU-Ordenador-procesador-Estudiantes-Profesionales%2Fdp%2FB0GSZ4JPGT%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776785868%26sr%3D8-3-spons%26aref%3D16C0yrjKpN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=16C0yrjKpN&sp_cr=ZAZ,349.99,999.99,65.0,2026-04-21 17:37:00,2026,4,21
"Ordenador Portátil Ultraligero 15.6"" FHD Core i5-8210Y (hasta 3.6GHz) 24GB RAM 512GB SSD + Ampliable a 1TB WiFi 5 Bluetooth 5.0 HDMI Bisagra 180° Win 11 Pro deal para Estudiantes Teletrabajo y Oficina","369,.99",,,"4,8 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Ordenador-Ultraligero-Core-Estudiantes-Teletrabajo/dp/B0FQP3G9HW/ref=sr_1_15?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-15,369.99,,,2026-04-21 17:37:00,2026,4,21
"Ordenador Portátil 16 Pulgadas, Core i5-8210Y CPU, Win11 Pro PC Portátil 16GB RAM 512GB SSD, Clavier Rétroéclairé, 1080P FHD Pantalla Laptop, (Mini-HDMI+USB3.0+Type-C+Webcan+WIFI5+5800mah Battery)","369,.99",,,"4,9 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Ordenador-Port%C3%A1til-Core-R%C3%A9tro%C3%A9clair%C3%A9-Mini-HDMI/dp/B0FXG5G3F7/ref=sr_1_22?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-22,369.99,,,2026-04-21 17:37:00,2026,4,21
"15,6 Pulgadas Ordenador Portáti, Win 11 PC Portátil 16GB RAM 1TB SSD, Laptop Celeron N5100 Gráficos UHD, Computadora Portatil 1920*1080 FHD Pantalla Teclado numérico retroiluminado/Touch ID USB 3.0","379,.99",,,"5,0 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToyOTQwOTIxODIwMTY1NTE1OjE3NzY3ODU4Njg6c3BfbXRmOjMwMDk4NjQwODE2NTEzMjo6MDo6&url=%2FOrdenador-Celeron-N5100-Computadora-retroiluminado%2Fdp%2FB0GR5FYPL8%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776785868%26sr%3D8-18-spons%26aref%3Dq1mR52XH1d%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=q1mR52XH1d&sp_cr=ZAZ,379.99,,,2026-04-21 17:37:00,2026,4,21
"HP 15-fd0374ns - Ordenador portátil de 15.6"" FHD (Intel N100, 8GB RAM, 256GB SSD, Intel UHD, Windows 11) Plata - Teclado QWERTY Español","449,.00",,,"4,6 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-15-fd0374ns-Ordenador-port%C3%A1til-Windows/dp/B0FCG227SW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-16,449.0,,,2026-04-21 17:37:00,2026,4,21
"Lenovo IdeaPad Slim 3 Gen 8 – Ordenador Portátil 15.6'' FHD (Intel Core i3-N305, Intel UHD Graphics, 8 GB RAM, 256 GB SSD, Wi-Fi 6, Win 11 Home, Office Trial) Teclado QWERTY Español - Azul Abismo","449,.00","479,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Lenovo-IdeaPad-Slim-Gen-Ordenador/dp/B0FVYGKQ8Z/ref=sr_1_24?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-24,449.0,479.0,6.26,2026-04-21 17:37:00,2026,4,21
"Ordenador portátil |Portátiles 15,6"" Full HD | PC Ultra Delgado | Procesador 3050e Dual Core | 16 GB RAM | SSD 512 GB Ultra Rápido | Teclado Retroiluminado | Ideal para Oficina/Estudios | Plata","450,.00","1.000,00 €",,"5,0 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToyOTQwOTIxODIwMTY1NTE1OjE3NzY3ODU4Njg6c3BfYXRmOjMwMTA0ODA5MTA1MzYzMjo6MDo6&url=%2FOrdenador-port%25C3%25A1til-Port%25C3%25A1tiles-Procesador-Retroiluminado%2Fdp%2FB0GSPV2BG6%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776785868%26sr%3D8-1-spons%26aref%3DcuZsGJyHGJ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=cuZsGJyHGJ&sp_cr=ZAZ,450.0,1000.0,55.0,2026-04-21 17:37:00,2026,4,21
