nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha,enlace,precio_actual_num,precio_original_num,descuento_pct,fecha_extraccion,anio,mes,dia,marca,ram_gb,almacenamiento_gb,cpu,gpu,tamanio_pantalla,sistema_operativo
"Ordenador portátil 14 pulgadas Dual-Core hasta 2,6 GHz • 6 GB RAM • 128 GB SSD • UHD portatil • WiFi 5G • Mini-HDMI • Teclado membrana • Diseño sin ventilador • Color plateado • Ratón incluido","205,.99",,,"4,1 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/Ordenador-port%C3%A1til-Dual-Core-Mini-HDMI-ventilador/dp/B0G3JBSTR6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-4,205.99,,,2026-04-21 12:17:00,2026,4,21,,6,128.0,,,14.0,
"PINSTONE Ordenador portátil de 14,1 Pulgadas, Dual-Core, 6 GB RAM, 128 GB SSD, UHD 1366 x 768, diseño sin Ventilador, Wi-Fi 5G, Teclado de Membrana, ratón Incluido","209,.00",,,"3,9 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/Ordenador-Dual-Core-Bluetooth-ventilador-membrana/dp/B0D54CZXPJ/ref=sr_1_25?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-25,209.0,,,2026-04-21 12:17:00,2026,4,21,PINSTONE,6,128.0,,,14.1,
"PINSTONE Ordenador Portátil de 14 Pulgadas Celeron N4000, Computadora Portátiles 6 GB RAM 128 GB SSD, PC Portátiles con 2,4 G/5 G WiFi, Bluetooth, Estudiantil Laptop Larga Vida útil de la Batería.","214,.00",,,"4,8 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/PINSTONE-Ordenador-Computadora-Port%C3%A1tiles-Estudiantil/dp/B0FXWJTGH9/ref=sr_1_23?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-23,214.0,,,2026-04-21 12:17:00,2026,4,21,PINSTONE,6,128.0,Celeron N4000,,14.0,
"Tunhail Ordenador Portatil 15,6 Pulgadas, PC Portatil con Celeron N4000 hasta 2,6 GHz, 8GB DDR4 256GB SSD, Laptop Pantalla IPS FHD 1920 * 1080 Convertible 180°, WiFi 5, Mini HDMI","239,.99",,,"5,0 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/Tunhail-Ordenador-Portatil-Pulgadas-Convertible/dp/B0GGB1YRBB/ref=sr_1_21?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-21,239.99,,,2026-04-21 12:17:00,2026,4,21,Tunhail,8,256.0,Celeron N4000,,15.6,
"BMAX Ordenador Portátil 15.6"" FHD Celeron N95 Upto 3,4 GHz Portatiles 12GB RAM 512GB SSD LPDDR5 Laptop, Win 11 PC Portátil 5G WiFi Notebook BT5.0, USB 3.2x2, Protege el Teclado Español","256,.49","289,99 €",,"4,6 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToxODE3NzMzMDcwMzM4MzE2OjE3NzY3NjY2NDI6c3BfbXRmOjMwMTAyNTkxMzQ4NDMzMjo6MDo6&url=%2FBMAX-Ordenador-Port%25C3%25A1til-Portatiles-12GB%2Fdp%2FB0GL8MWC5G%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776766642%26sr%3D8-18-spons%26aref%3DOkOlIwJ1dJ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=OkOlIwJ1dJ&sp_cr=ZAZ,256.49,289.99,11.55,2026-04-21 12:17:00,2026,4,21,BMAX,12,512.0,Celeron N95,,15.6,
"ASUS Chromebook CX1505CTA - Ordenador Portátil 15.6"" Full HD (Intel N50, 4GB RAM, 128GB eMMC, ChromeOS) QWERTY Funda y ratón incluidos +3 Meses de Google AI Pro con Gemini Pro y 2TB de Almacenamiento","259,.00",,,"4,2 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/ASUS-Chromebook-CX1505CTA-Ordenador-Almacenamiento/dp/B0FWCLTWP2/ref=sr_1_6?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-6,259.0,,,2026-04-21 12:17:00,2026,4,21,ASUS,4,2048.0,Intel N50,,15.6,ChromeOS
"BMAX Ordenador Portátil 15,6"" Core i3-8109U hasta 3,6 GHz Portatiles 16GB RAM 512GB SSD Win 11 Pro Laptop 5G WiFi, Bluetooth 5.0, USB 3.0x2, HDMI, 1920x1080 FHD Protege el Teclado Español","294,.49","329,99 €",,"4,5 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToxODE3NzMzMDcwMzM4MzE2OjE3NzY3NjY2NDI6c3BfYXRmOjMwMDkzOTU3OTQyMjkzMjo6MDo6&url=%2FBMAX-Ordenador-Portatiles-Bluetooth-1920x1080%2Fdp%2FB0G525H9X9%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776766642%26sr%3D8-2-spons%26aref%3Df9067d1xAQ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=f9067d1xAQ&sp_cr=ZAZ,294.49,329.99,10.76,2026-04-21 12:17:00,2026,4,21,BMAX,16,512.0,Core i3-8109U,,15.6,
"HP 15-fd0261ns - Ordenador portátil de 15.6"" FHD (Intel N100, 4GB RAM, 128GB UFS, Intel UHD, Windows 11) Plata - Teclado QWERTY Español - Incluye Microsoft 365 Personal 12 Meses","299,.00","349,00 €",,"4,2 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/HP-15-fd0261ns-Ordenador-port%C3%A1til-Microsoft/dp/B0FCG24X9S/ref=sr_1_5?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-5,299.0,349.0,14.33,2026-04-21 12:17:00,2026,4,21,Microsoft,4,128.0,Intel N100,Intel UHD,15.6,Windows 11
"HP EliteBook 840 G6, FHD, Intel Core i5 8265U, 16 GB RAM, 512 GB SSD, Intel UHD Graphics, Windows 11 (Reacondicionado) Bolsa Cybersnap","331,.00",,,"3,5 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/HP-EliteBook-840-G6-reacondicionado/dp/B0F3P4FHTY/ref=sr_1_13?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-13,331.0,,,2026-04-21 12:17:00,2026,4,21,HP,16,512.0,Intel Core i5 8265U,Intel UHD Graphics,,Windows 11
"2026 Ordenador portátil 16GB RAM, SSD 256GB,15,6 Pulgadas, procesador M3-6Y30 (2,2 GHz), Pantalla FHD 1920x1080 píxeles, cámara Web y Panel táctil, Ideal para Estudiantes y Profesionales","349,.99","999,99 €",,"5,0 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToxODE3NzMzMDcwMzM4MzE2OjE3NzY3NjY2NDI6c3BfYXRmOjMwMTAzNjIyNzI1MTMzMjo6MDo6&url=%2FCHIFUYOU-Ordenador-procesador-Estudiantes-Profesionales%2Fdp%2FB0GSZ4JPGT%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776766642%26sr%3D8-3-spons%26aref%3D16C0yrjKpN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=16C0yrjKpN&sp_cr=ZAZ,349.99,999.99,65.0,2026-04-21 12:17:00,2026,4,21,,16,,,,15.6,
"Ordenador Portátil Ultraligero 15.6"" FHD Core i5-8210Y (hasta 3.6GHz) 24GB RAM 512GB SSD + Ampliable a 1TB WiFi 5 Bluetooth 5.0 HDMI Bisagra 180° Win 11 Pro deal para Estudiantes Teletrabajo y Oficina","369,.99",,,"4,8 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/Ordenador-Ultraligero-Core-Estudiantes-Teletrabajo/dp/B0FQP3G9HW/ref=sr_1_14?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-14,369.99,,,2026-04-21 12:17:00,2026,4,21,,24,1024.0,Core i5-8210Y,,15.6,
"Ordenador Portátil 16 Pulgadas, Core i5-8210Y CPU, Win11 Pro PC Portátil 16GB RAM 512GB SSD, Clavier Rétroéclairé, 1080P FHD Pantalla Laptop, (Mini-HDMI+USB3.0+Type-C+Webcan+WIFI5+5800mah Battery)","369,.99",,,"4,9 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/Ordenador-Port%C3%A1til-Core-R%C3%A9tro%C3%A9clair%C3%A9-Mini-HDMI/dp/B0FXG5G3F7/ref=sr_1_20?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-20,369.99,,,2026-04-21 12:17:00,2026,4,21,,16,512.0,Core i5-8210Y,,16.0,
"Lenovo IdeaPad Slim 3 Gen 8 – Ordenador Portátil 15.6'' FHD (Intel Core i3-N305, Intel UHD Graphics, 8 GB RAM, 256 GB SSD, Wi-Fi 6, Win 11 Home, Office Trial) Teclado QWERTY Español - Azul Abismo","449,.00","479,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/Lenovo-IdeaPad-Slim-Gen-Ordenador/dp/B0FVYGKQ8Z/ref=sr_1_24?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-24,449.0,479.0,6.26,2026-04-21 12:17:00,2026,4,21,Lenovo,8,256.0,Intel Core i3-N305,Intel UHD Graphics,,
"Ordenador portátil |Portátiles 15,6"" Full HD | PC Ultra Delgado | Procesador 3050e Dual Core | 16 GB RAM | SSD 512 GB Ultra Rápido | Teclado Retroiluminado | Ideal para Oficina/Estudios | Plata","450,.00","1.000,00 €",,"5,0 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/sspa/click?ie=UTF8&spc=MToxODE3NzMzMDcwMzM4MzE2OjE3NzY3NjY2NDI6c3BfYXRmOjMwMTA0NzgxNDg1NzgzMjo6MDo6&url=%2FOrdenador-port%25C3%25A1til-Port%25C3%25A1tiles-Procesador-Retroiluminado%2Fdp%2FB0GSPV2BG6%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig%26dib_tag%3Dse%26keywords%3Dportatiles%26qid%3D1776766642%26sr%3D8-1-spons%26aref%3DTW2epsPcE3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=TW2epsPcE3&sp_cr=ZAZ,450.0,1000.0,55.0,2026-04-21 12:17:00,2026,4,21,,16,,,,15.6,
"acer Aspire Go 15 AG15-42P, Ordenador Portátil 15.6"" Full HD (AMD Ryzen 5 5625U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home), Plata, Teclado QWERTY Español","499,.00","549,00 €",,"5,0 de 5 estrellas",Amazon,2026-04-21 12:17,https://www.amazon.es/acer-AG15-42P-Ordenador-Port%C3%A1til-Graphics/dp/B0F454GC8S/ref=sr_1_12?dib=eyJ2IjoiMSJ9.by3D93dYU1KLpq8sNlxrmBck2fPFEIisaMdVUQvRoWO7A0H9h3rdp0vxfhbuzBx-5joiV6qfdUL7BNO8_vtApTkivmLd3mt8SmjgeaCm4NFh3M_ScFz60zgBm1e23Jn3f5ltxjNodu4eQ7_-KXP6Y-zuYsWmZAhdjnToRLmuQDCONkxO8z6BUAFgvSYoOZFxZFws4ohb8Rczpzp0wLEKem9mxAK59JR5VG8ZgVkGaG01_HDzVz9eSVYEjJCaS6U7PK0irIdXEdWsrDoWdaUEHfnNd3bZ_-gE5-fT5xSLovY.Yx3_3bBP-_kyhZRblaSFuyvMy8B9rolsrxynSm6l-Ig&dib_tag=se&keywords=portatiles&qid=1776766642&sr=8-12,499.0,549.0,9.11,2026-04-21 12:17:00,2026,4,21,Acer,16,512.0,AMD Ryzen 5 5625U,,15.6,Windows 11
